"Rank","WSIT","Flex Position (RB/WR/TE)","Team","Pos","Bye","Best","Worst","Avg","Std Dev"
"1","","Todd Gurley","LAR","RB1","12","1","2","1.0","0.0"
"2","","Christian McCaffrey","CAR","RB2","4","2","11","3.4","0.9"
"3","","Saquon Barkley","NYG","RB3","9","2","9","3.6","1.7"
"4","","Ezekiel Elliott","DAL","RB4","8","2","7","3.6","1.5"
"5","","Antonio Brown","PIT","WR1","7","3","6","5.3","0.5"
"6","","Alvin Kamara","NO","RB5","6","1","12","5.6","2.0"
"7","","Davante Adams","GB","WR2","7","6","14","9.1","1.4"
"8","","Julio Jones","ATL","WR3","8","5","21","10.9","3.3"
"9","","DeAndre Hopkins","HOU","WR4","10","8","17","11.0","2.0"
"10","","Michael Thomas","NO","WR5","6","6","17","12.1","4.5"
"11","","Tyreek Hill","KC","WR6","12","8","20","12.4","2.7"
"12","","Odell Beckham Jr.","NYG","WR7","9","6","18","12.7","4.3"
"13","","Phillip Lindsay","DEN","RB6","10","7","39","14.4","3.5"
"14","","Leonard Fournette","JAC","RB7","9","7","23","15.1","3.8"
"15","","Adam Thielen","MIN","WR8","10","5","24","15.9","4.1"
"16","","Nick Chubb","CLE","RB8","11","8","27","16.3","3.9"
"17","","David Johnson","ARI","RB9","9","12","39","18.4","3.3"
"18","","Keenan Allen","LAC","WR9","8","16","23","18.9","1.0"
"19","","Aaron Jones","GB","RB10","7","9","34","19.0","5.5"
"20","","Joe Mixon","CIN","RB11","9","14","29","20.3","3.8"
"21","","James Conner","PIT","RB12","7","7","83","21.1","13.6"
"22","","Travis Kelce","KC","TE1","12","12","53","22.7","4.1"
"23","","Zach Ertz","PHI","TE2","9","16","28","25.9","2.5"
"24","","Sony Michel","NE","RB13","11","13","30","26.0","4.0"
"25","","Robert Woods","LAR","WR10","12","22","32","26.4","3.0"
"26","","JuJu Smith-Schuster","PIT","WR11","7","25","28","26.6","0.7"
"27","","Mike Evans","TB","WR12","5","17","47","26.9","2.8"
"28","","Brandin Cooks","LAR","WR13","12","23","32","27.3","1.8"
"29","","Stefon Diggs","MIN","WR14","10","20","37","30.9","3.0"
"30","","James White","NE","RB14","11","16","50","32.4","10.0"
"31","","T.Y. Hilton","IND","WR15","9","30","42","32.9","2.7"
"32","","Dalvin Cook","MIN","RB15","10","19","50","33.4","5.2"
"33","","Mark Ingram","NO","RB16","6","19","50","34.0","6.9"
"34","","Kenny Golladay","DET","WR16","6","31","45","35.7","2.8"
"35","","Julian Edelman","NE","WR17","11","29","50","36.3","2.2"
"36","","Amari Cooper","DAL","WR18","8","32","48","37.0","4.2"
"66","","Spencer Ware","KC","RB30","12","21","68","39.2","11.4"
"37","","George Kittle","SF","TE3","11","20","60","39.3","11.9"
"38","","Tyler Boyd","CIN","WR19","9","24","52","41.1","1.1"
"39","","Melvin Gordon","LAC","RB17","8","4","91","41.3","24.0"
"40","","Lamar Miller","HOU","RB18","10","22","74","41.3","6.6"
"41","","Tarik Cohen","CHI","RB19","5","21","62","42.6","4.9"
"42","","Josh Gordon","NE","WR20","11","31","63","43.6","5.0"
"43","","Marlon Mack","IND","RB20","9","35","53","44.0","6.3"
"44","","Eric Ebron","IND","TE4","9","33","83","44.9","10.2"
"45","","Corey Davis","TEN","WR21","8","33","58","45.4","5.5"
"46","","Tevin Coleman","ATL","RB21","8","37","80","50.9","3.4"
"47","","Gus Edwards","BAL","RB22","10","36","70","51.9","6.9"
"48","","Tyler Lockett","SEA","WR22","7","43","62","52.0","5.4"
"49","","Allen Robinson","CHI","WR23","5","46","71","52.4","5.5"
"50","","Larry Fitzgerald","ARI","WR24","9","35","75","53.6","9.1"
"51","","Jarvis Landry","CLE","WR25","11","37","82","55.1","11.1"
"52","","Adrian Peterson","WAS","RB23","4","45","78","55.4","7.5"
"53","","Doug Baldwin","SEA","WR26","7","45","69","56.1","4.4"
"54","","D.J. Moore","CAR","WR27","4","48","59","56.4","1.4"
"55","","Alshon Jeffery","PHI","WR28","9","40","72","56.7","11.0"
"56","","Matt Breida","SF","RB24","11","38","96","57.4","13.0"
"57","","Rob Gronkowski","NE","TE5","11","33","64","58.6","3.3"
"58","","Austin Ekeler","LAC","RB25","8","47","110","62.1","15.0"
"59","","Golden Tate","PHI","WR29","9","43","93","62.3","9.5"
"60","","Chris Carson","SEA","RB26","7","34","100","62.9","13.1"
"61","","Adam Humphries","TB","WR30","5","54","82","63.0","4.9"
"62","","LeSean McCoy","BUF","RB27","11","50","80","63.7","9.5"
"78","","Courtland Sutton","DEN","WR36","10","51","76","64.7","5.2"
"63","","Kenyan Drake","MIA","RB28","11","52","78","66.1","5.6"
"64","","Kerryon Johnson","DET","RB29","6","44","91","66.3","11.0"
"65","","Calvin Ridley","ATL","WR31","8","48","86","66.9","5.5"
"67","","Josh Adams","PHI","RB31","9","36","113","69.0","9.2"
"68","","Josh Reynolds","LAR","WR32","12","51","77","69.9","5.3"
"69","","Dion Lewis","TEN","RB32","8","50","101","70.0","11.5"
"70","","Jared Cook","OAK","TE6","7","40","98","71.4","13.7"
"71","","Sammy Watkins","KC","WR33","12","59","93","72.4","2.9"
"80","","Cameron Brate","TB","TE9","5","64","140","73.5","5.9"
"83","","Chris Godwin","TB","WR37","5","62","117","75.7","8.1"
"72","","David Njoku","CLE","TE7","11","60","120","77.9","12.4"
"84","","Sterling Shepard","NYG","WR38","9","67","120","78.5","7.0"
"86","","Marquez Valdes-Scantling","GB","WR40","7","61","99","79.2","8.9"
"73","","Jordan Howard","CHI","RB33","5","65","106","81.0","5.3"
