"Rank","WSIS","Flex Position (RB/WR/TE)","Team","Pos","Opp","Best","Worst","Avg","Std Dev"
"1","","Christian McCaffrey","CAR","RB1","at CLE","1","5","1.8","1.0"
"2","","Todd Gurley","LAR","RB2","at CHI","1","5","2.0","0.9"
"3","","Ezekiel Elliott","DAL","RB3","vs. PHI","1","5","3.1","1.0"
"4","","Alvin Kamara","NO","RB4","at TB","1","9","3.6","1.1"
"5","","Saquon Barkley","NYG","RB5","at WAS","1","12","4.6","0.8"
"6","","Michael Thomas","NO","WR1","at TB","6","21","7.3","2.1"
"7","","Antonio Brown","PIT","WR2","at OAK","6","17","7.8","1.6"
"8","","Davante Adams","GB","WR3","vs. ATL","7","12","8.7","1.2"
"9","","DeAndre Hopkins","HOU","WR4","vs. IND","6","14","9.8","1.7"
"10","","Phillip Lindsay","DEN","RB6","at SF","3","17","10.8","3.0"
"11","","Aaron Jones","GB","RB7","vs. ATL","5","23","10.8","3.9"
"12","","Keenan Allen","LAC","WR5","vs. CIN","6","20","11.3","1.7"
"13","","Julio Jones","ATL","WR6","at GB","8","24","12.8","1.7"
"14","","Nick Chubb","CLE","RB8","vs. CAR","7","28","14.6","2.9"
"15","","Odell Beckham Jr.","NYG","WR7","at WAS","11","20","15.1","1.9"
"16","","Adam Thielen","MIN","WR8","at SEA","10","27","16.2","2.6"
"17","","Tyreek Hill","KC","WR9","vs. BAL","10","25","18.6","3.5"
"18","","David Johnson","ARI","RB9","vs. DET","7","32","18.7","3.6"
"19","","JuJu Smith-Schuster","PIT","WR10","at OAK","15","30","19.2","2.9"
"20","","Leonard Fournette","JAC","RB10","at TEN","10","39","21.2","4.8"
"21","","Mike Evans","TB","WR11","vs. NO","14","46","22.2","4.3"
"22","","Travis Kelce","KC","TE1","vs. BAL","16","44","22.9","4.5"
"23","","Sony Michel","NE","RB11","at MIA","16","40","26.0","5.9"
"24","","Joe Mixon","CIN","RB12","at LAC","18","42","26.1","4.7"
"25","","Brandin Cooks","LAR","WR12","at CHI","19","45","26.4","4.3"
"26","","T.Y. Hilton","IND","WR13","at HOU","14","41","26.5","4.6"
