"Rank","WSIT","Flex Position (RB/WR/TE)","Team","Pos","Bye","Best","Worst","Avg","Std Dev"
"1","","Todd Gurley","LAR","RB1","12","1","2","1.0","0.0"
"19","","Aaron Jones","GB","RB10","7","9","34","19.0","5.5"
"31","","T.Y. Hilton","IND","WR15","9","30","42","32.9","2.7"
"32","","Dalvin Cook","MIN","RB15","10","19","50","33.4","5.2"
"37","","George Kittle","SF","TE3","11","20","60","39.3","11.9"
"45","","Corey Davis","TEN","WR21","8","33","58","45.4","5.5"
"51","","Jarvis Landry","CLE","WR25","11","37","82","55.1","11.1"
"61","","Adam Humphries","TB","WR30","5","54","82","63.0","4.9"
"78","","Courtland Sutton","DEN","WR36","10","51","76","64.7","5.2"
"83","","Chris Godwin","TB","WR37","5","62","117","75.7","8.1"
"88","","Trey Burton","CHI","TE10","5","67","120","81.8","9.1"
""
""
